from,to,value
9109,5005,-0.046875
9110,9108,-0.05555555555555555
9110,5005,-0.09375
9111,5005,-0.075
9112,5005,-0.07142857142857142
9113,5005,-0.058823529411764705
9202,8907,-0.016722408026755852
9202,5005,-0.038461538461538464
9208,9206,-0.02181818181818182
9208,5005,-0.045454545454545456
9506,5005,-0.0375
9617,6912,-0.041666666666666664
9617,7410,-0.05128205128205128
9617,8470,-0.041666666666666664
9617,8508,-0.041666666666666664
9617,8521,-0.06944444444444445
9617,8536,-0.027777777777777776
9617,9006,-0.041666666666666664
9617,5005,-0.08333333333333333
9702,9701,-0.03333333333333333
9702,5005,-0.03333333333333333
9702,9703,-0.030303030303030304
5007,5507,-0.07142857142857142
5007,9616,-0.05714285714285714
5007,5407,-0.047619047619047616
5007,5605,-0.047619047619047616
5007,5511,-0.026785714285714284
5007,5208,-0.027210884353741496
5007,5210,-0.045112781954887216
5007,5212,-0.03759398496240601
5007,5309,-0.044642857142857144
5007,5408,-0.044642857142857144
5007,5512,-0.04285714285714286
5007,5516,-0.05952380952380952
5007,5804,-0.045112781954887216
5007,5807,-0.032467532467532464
5007,5808,-0.03896103896103896
5007,6003,-0.04
5007,6213,-0.04081632653061224
5007,6214,-0.03968253968253968
5007,7210,-0.025210084033613446
5007,7615,-0.05042016806722689
5007,8453,-0.0380952380952381
5101,5105,-0.023017902813299233
5102,5108,-0.03333333333333333
5103,5105,-0.03529411764705882
5105,5108,-0.041176470588235294
5109,8463,-0.030612244897959183
5111,5112,-0.04017857142857143
5112,5309,-0.03571428571428571
5202,5205,-0.020879120879120878
5203,5303,-0.03289473684210526
5205,5206,-0.023504273504273504
5206,6108,-0.025252525252525252
5206,6702,-0.03333333333333333
5211,6302,-0.023109243697478993
5301,6807,-0.026455026455026454
5302,7018,-0.041666666666666664
5302,7508,-0.03431372549019608
5303,5308,-0.02976190476190476
5303,5607,-0.021341463414634148
5303,7103,-0.020161290322580645
5303,5307,-0.0625
5303,5305,-0.044642857142857144
5307,6117,-0.027777777777777776
5307,6208,-0.0234375
5307,7018,-0.041666666666666664
5307,8908,-0.013636363636363636
5307,9601,-0.022727272727272728
5307,5310,-0.08333333333333333
5307,6702,-0.05
5307,6307,-0.024193548387096774
6208,6204,-0.02013888888888889
6208,6207,-0.022804054054054054
7018,5703,-0.031746031746031744
5310,6305,-0.018140589569160998
6205,5311,-0.0196078431372549
5401,5807,-0.021994134897360705
5506,7107,-0.044444444444444446
5507,8449,-0.07142857142857142
5507,6902,-0.039473684210526314
5507,7303,-0.03125
5507,7407,-0.027777777777777776
5509,5510,-0.02861952861952862
5514,6701,-0.02717391304347826
5602,8449,-0.04081632653061224
5606,8104,-0.044444444444444446
5704,9016,-0.05
5705,6501,-0.027777777777777776
5801,6801,-0.02666666666666667
5801,6911,-0.03888888888888889
5809,8446,-0.041666666666666664
5810,6702,-0.031578947368421054
5901,6812,-0.03571428571428571
5903,6702,-0.05454545454545454
5903,6005,-0.03827751196172249
5904,9012,-0.0380952380952381
5905,8434,-0.03409090909090909
5909,8307,-0.0374331550802139
5910,8445,-0.04861111111111111
5911,9012,-0.03296703296703297
6103,6108,-0.019342359767891684
6104,6108,-0.01928374655647383
6104,6105,-0.017825311942959002
6104,6109,-0.01652892561983471
6106,6213,-0.020186335403726708
6107,6108,-0.020694752402069475
6108,6211,-0.018308080808080808
6115,6601,-0.022321428571428572
6116,6216,-0.029411764705882353
6217,9616,-0.025806451612903226
6301,7323,-0.029411764705882353
6309,8805,-0.018229166666666668
6401,8513,-0.019305019305019305
6402,6404,-0.025252525252525252
6404,6702,-0.03333333333333333
6502,6501,-0.041666666666666664
6701,6504,-0.03125
6701,7217,-0.02142857142857143
6701,7314,-0.026515151515151516
6701,8430,-0.01953125
6505,6702,-0.02857142857142857
6506,6702,-0.03333333333333333
8305,6601,-0.044642857142857144
9403,6601,-0.023809523809523808
6702,8304,-0.03529411764705882
6702,8306,-0.04
6702,9105,-0.075
6702,9606,-0.03333333333333333
6702,9614,-0.046153846153846156
6702,9615,-0.08
6702,6704,-0.02857142857142857
9105,9005,-0.03289473684210526
9105,9101,-0.02976190476190476
9105,9102,-0.05357142857142857
9105,9106,-0.03289473684210526
6806,9012,-0.03428571428571429
6809,8449,-0.023166023166023165
6905,8449,-0.03296703296703297
6913,6914,-0.0392156862745098
7001,9012,-0.017142857142857144
7005,7111,-0.027649769585253458
7229,7006,-0.05128205128205128
7229,8311,-0.03296703296703297
7319,7006,-0.05185185185185185
8003,7006,-0.042735042735042736
8452,7006,-0.04678362573099415
8473,7006,-0.05925925925925926
8473,8471,-0.04583333333333333
7006,8533,-0.027777777777777776
7006,8542,-0.04678362573099415
7006,9002,-0.07407407407407407
7006,8532,-0.06349206349206349
7006,8541,-0.05925925925925926
7006,9013,-0.08333333333333333
9002,8443,-0.04583333333333333
7008,8439,-0.03142857142857143
7010,8449,-0.019230769230769232
7013,8210,-0.0375
7017,9012,-0.05357142857142857
7101,8522,-0.02976190476190476
7111,8529,-0.044642857142857144
7113,9102,-0.024553571428571428
7205,8109,-0.045112781954887216
7208,8111,-0.027777777777777776
7211,8457,-0.033816425120772944
7212,8449,-0.027649769585253458
7213,8603,-0.02702702702702703
7215,7302,-0.025466893039049237
7218,8420,-0.05
7218,7606,-0.03333333333333333
7219,7220,-0.04779411764705882
7221,8408,-0.0457516339869281
7221,7302,-0.04093567251461988
7221,7223,-0.0457516339869281
7221,8701,-0.037037037037037035
7221,9305,-0.02681992337164751
7222,8449,-0.05714285714285714
7226,8113,-0.044642857142857144
7227,7228,-0.03768115942028986
7308,8453,-0.02113821138211382
7309,8449,-0.02127659574468085
7310,8509,-0.021825396825396824
7316,8111,-0.021739130434782608
7317,8202,-0.01904761904761905
7321,8104,-0.027586206896551724
7322,8416,-0.032
7323,8215,-0.041666666666666664
7324,8509,-0.03571428571428571
7325,8449,-0.029556650246305417
7326,8509,-0.02546296296296296
7401,7402,-0.024456521739130436
7403,7402,-0.026041666666666668
7405,8440,-0.0427807486631016
7418,8449,-0.05102040816326531
7419,8445,-0.03535353535353535
7502,7504,-0.048484848484848485
7503,9012,-0.037267080745341616
7504,8105,-0.05454545454545454
7505,8449,-0.047619047619047616
7601,7605,-0.021645021645021644
7608,8104,-0.034782608695652174
7609,9016,-0.0380952380952381
7610,8509,-0.02032520325203252
7611,8449,-0.03896103896103896
7612,8463,-0.022556390977443608
7613,9012,-0.045112781954887216
7616,8449,-0.030612244897959183
7801,8606,-0.01221001221001221
7806,9016,-0.024
7902,8449,-0.020833333333333332
7903,8109,-0.031055900621118012
7904,8206,-0.03333333333333333
8002,9012,-0.032467532467532464
8104,8510,-0.046153846153846156
8104,8467,-0.03529411764705882
8104,9302,-0.04
8109,8802,-0.03759398496240601
8109,9015,-0.019933554817275746
8113,8603,-0.0625
8202,9016,-0.05714285714285714
8205,9017,-0.02608695652173913
8206,9016,-0.05
8208,8461,-0.04090909090909091
8210,9616,-0.041666666666666664
8212,9609,-0.025210084033613446
8214,8215,-0.05
8302,8454,-0.03
8307,9012,-0.05194805194805195
8307,8804,-0.031818181818181815
8309,8449,-0.026455026455026454
8310,8519,-0.031578947368421054
8401,8606,-0.03418803418803419
8403,8449,-0.04285714285714286
8405,8449,-0.034013605442176874
8411,9014,-0.027777777777777776
8412,8449,-0.037267080745341616
8416,8432,-0.029885057471264367
8416,8716,-0.027083333333333334
8417,8509,-0.0375
8419,8420,-0.0391304347826087
8420,8439,-0.05
8420,8428,-0.02857142857142857
8420,8458,-0.06153846153846154
8420,8462,-0.0380952380952381
8420,8515,-0.044444444444444446
8420,8801,-0.03636363636363636
8422,9016,-0.04
8424,9012,-0.03896103896103896
8426,8449,-0.027649769585253458
8435,9016,-0.0375
8437,8445,-0.03535353535353535
8438,9016,-0.02962962962962963
8439,8503,-0.029556650246305417
8439,9402,-0.03571428571428571
8439,9406,-0.02142857142857143
8442,8449,-0.03896103896103896
8445,8461,-0.06060606060606061
8445,8448,-0.04861111111111111
8449,8451,-0.047619047619047616
8449,8502,-0.02857142857142857
8449,8530,-0.03296703296703297
8449,8705,-0.03333333333333333
8449,9704,-0.017857142857142856
8455,8474,-0.0203125
8456,8457,-0.04861111111111111
8457,8466,-0.04678362573099415
8459,8603,-0.052941176470588235
8461,8463,-0.05194805194805195
8461,8465,-0.03349282296650718
8461,8535,-0.02821316614420063
8478,9016,-0.031578947368421054
8504,9615,-0.0380952380952381
8507,9615,-0.042105263157894736
8509,9615,-0.05
8509,9401,-0.026041666666666668
8510,9016,-0.046153846153846156
8513,8518,-0.05194805194805195
8513,8519,-0.05714285714285714
8513,9615,-0.05714285714285714
8513,9405,-0.03571428571428571
8517,8519,-0.04375
8518,9503,-0.04895104895104895
8519,9613,-0.046153846153846156
8522,9615,-0.06666666666666667
8525,9013,-0.041666666666666664
8531,8543,-0.030303030303030304
8534,9615,-0.044444444444444446
8539,9615,-0.047058823529411764
8540,9012,-0.03968253968253968
8603,8605,-0.05454545454545454
8603,8607,-0.0375
8603,8704,-0.02666666666666667
8603,8706,-0.04375
8713,9016,-0.05714285714285714
9007,9012,-0.02976190476190476
9012,9014,-0.044642857142857144
9012,9020,-0.032467532467532464
9012,9022,-0.06593406593406594
9012,9023,-0.04081632653061224
9012,9025,-0.03571428571428571
9012,9026,-0.04081632653061224
9012,9027,-0.04285714285714286
9012,9033,-0.031746031746031744
9507,9013,-0.029166666666666667
9016,9615,-0.08
9016,9021,-0.03636363636363636
9016,9508,-0.03636363636363636
9301,9306,-0.025974025974025976
9605,9615,-0.06666666666666667
9611,9615,-0.06
