from,to,value
0904,5305,-0.01948051948051948
0905,2525,-0.027777777777777776
0906,0908,-0.02922077922077922
0907,5303,-0.02631578947368421
1001,1205,-0.03728070175438596
1002,7226,-0.039285714285714285
1003,1205,-0.03289473684210526
1004,8439,-0.03571428571428571
1005,1007,-0.023148148148148147
1005,1201,-0.024691358024691357
1007,1521,-0.026442307692307692
1008,1204,-0.020202020202020204
1101,7206,-0.0125
1102,3201,-0.015294117647058824
1103,9307,-0.016885553470919325
1104,1109,-0.02066115702479339
1105,9016,-0.04285714285714286
1106,4007,-0.014577259475218658
1107,5301,-0.027472527472527472
1108,5301,-0.030612244897959183
1109,5905,-0.03977272727272727
1109,9016,-0.05454545454545454
1109,1514,-0.0371900826446281
1109,1703,-0.013223140495867768
1109,3814,-0.019955654101995565
1109,3820,-0.03896103896103896
1109,4012,-0.02909090909090909
1109,4814,-0.03557312252964427
1109,5601,-0.02356902356902357
1109,7204,-0.012987012987012988
1109,7804,-0.03349282296650718
1109,8709,-0.030303030303030304
1201,2304,-0.03333333333333333
1202,2305,-0.022222222222222223
1202,5201,-0.016666666666666666
1203,4007,-0.03296703296703297
1204,1205,-0.03508771929824561
1204,2306,-0.020155038759689922
1204,5001,-0.037037037037037035
1205,1514,-0.03349282296650718
1206,8401,-0.030303030303030304
1208,2304,-0.0210727969348659
1210,9012,-0.04081632653061224
1211,6702,-0.015384615384615385
1212,4503,-0.018229166666666668
1213,5113,-0.028409090909090908
1214,8109,-0.0380952380952381
1301,2305,-0.018292682926829267
1302,7418,-0.02295918367346939
1401,9617,-0.030864197530864196
1404,5701,-0.01893939393939394
1501,8449,-0.045112781954887216
1502,2612,-0.03125
1503,2913,-0.05
1504,2301,-0.01730920535011802
1505,3707,-0.04081632653061224
1506,9016,-0.03529411764705882
1507,4502,-0.02857142857142857
1508,2305,-0.03888888888888889
1510,6308,-0.03205128205128205
1510,4501,-0.06944444444444445
1511,1802,-0.030434782608695653
1513,9617,-0.028985507246376812
1515,4501,-0.02032520325203252
1516,5407,-0.022222222222222223
1517,4502,-0.022222222222222223
1518,4502,-0.032
1520,9016,-0.03076923076923077
1522,3703,-0.032467532467532464
1601,2003,-0.022222222222222223
1603,5405,-0.031746031746031744
1604,4502,-0.022222222222222223
1605,5303,-0.014423076923076924
1701,4503,-0.014150943396226415
1702,3507,-0.02564102564102564
1801,1802,-0.01951219512195122
1802,1804,-0.04375
1802,4001,-0.031578947368421054
1802,1803,-0.03888888888888889
1804,1805,-0.03273809523809524
1806,3501,-0.02197802197802198
1901,9016,-0.023529411764705882
1902,2528,-0.015625
1903,5504,-0.022988505747126436
1904,8109,-0.01749271137026239
2001,9614,-0.01775147928994083
2002,4501,-0.036231884057971016
2003,4903,-0.05555555555555555
2003,2005,-0.023809523809523808
2003,2007,-0.017429193899782137
2003,2105,-0.020202020202020204
2003,4304,-0.042735042735042736
2003,6602,-0.05555555555555555
2004,3803,-0.03787878787878788
2004,3806,-0.03508771929824561
2006,5005,-0.03
2008,2528,-0.01715686274509804
2101,9016,-0.023529411764705882
2102,4502,-0.02
2103,4502,-0.01904761904761905
2104,8805,-0.017857142857142856
2106,7505,-0.017543859649122806
2201,5605,-0.016666666666666666
2202,8449,-0.016666666666666666
2203,8440,-0.016176470588235296
2204,4504,-0.03896103896103896
2205,8449,-0.0380952380952381
2205,2208,-0.014666666666666666
2206,3707,-0.024390243902439025
2207,3707,-0.017421602787456445
2209,4503,-0.023148148148148147
2301,3807,-0.016260162601626018
2302,5302,-0.01282051282051282
2303,8104,-0.03684210526315789
